,UCS v8.2.1 Category List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOLS,HAND,TOOLHand,TOOL,"Hand tools, not requiring power. Hammers, wrenches, pliers. See also TOOLS-GARDEN.","Allen, Bar, Chisel, Clamp, Cutter, Drill, File, Files, Grip, Gun, Hacksaw, Hammer, Hand, Knife, Level, Mallet, Measure, Pliers, Pry, Ratchet, Saw, Scissors, Scraper, Screwdriver, Shears, Snips, Socket, Staple, Tape, Toolbox, Utility, Vise, Wrench",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOLS,MISC,TOOLMisc,TOOL,Tool sounds not fitting another category in this list.,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOLS,PNEUMATIC,TOOLPneu,TOOL,"Air tools, such as jackhammers, air ratchets, nail guns. The air-wrench sound in a tire shop.","Air, Chisel, Compressor, Drill, Grinder, Gun, Guns, Hammer, Hose, Impact, Jackhammer, Nail, Nailer, Pneumatic, Ratchet, Rivet, Sander, Spray, Stapler, Tool, Wrench",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOLS,POWER,TOOLPowr,TOOL,"Tools that require power. A sander, electric drill, dremel tool, circular saw.","Air, Angle, Belt, Circular, Compressor, Drill, Driver, Grinder, Gun, Heat, Impact, Jigsaw, Miter, Nail, Planer, Power, Press, Reciprocating, Router, Sander, Saw, Screwdriver, Staple, Table, Tool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYS,ELECTRONIC,TOYElec,TOY,"Remote controlled car, slot cars. Any kids toy that required power. See also AIRCRAFT-REMOTE CONTROLLED.","Car, Controlled, Device, Digital, Entertainment, Furby, Gadget, Game, Gizmo, Interactive, Play, Remote, Screen, Slot, Tech, Toy, Train, Virtual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYS,MECHANICAL,TOYMech,TOY,"Wind up robots, things like that. Toys with some mechanism or mechanical component.","Box, Erector, Jack-in-the-Box, Kaleidoscope, Music, Robot, Slinky, Spring-Loaded, Tops, Toy, Wind-Up, Winding, Windup, Yo-Yo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYS,MISC,TOYMisc,TOY,Toy sounds not fitting another category in this list.,"Action, Animal, Ball, Blocks, Building, Construction, Doll, Figure, Legos, Model, Plaything, Plushie, Puppet, Puzzle, Set, Stuffed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,BRAKE,TRNBrake,TRN,"Screeching metalic train brake wheels, subway brakes. Usually a piercing sound.","Bake, Brake, Brakes, Braking, Breaks, Grind, Halting, Pads, Rail, Railcar, Railway, Rolling, Screech, Shoes, Stock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,CLACK,TRNClak,TRN,"Train clacks isolated, constant clacking of trains passing or running.","Clack, Clattering, Clickety-Clack, Railway, Rattling, Rhythmic, Track, Train, Wheel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,DOOR,TRNDoor,TRN,"Train doors, sliding doors in passenger or freight trains. Some overlap with general DOORS category and possibly VEHICLES-DOOR.","Access, Boxcar, Cab, Caboose, Car, Coach, Door, Hatch, Rail, Railway, Subway, Train",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,DIESEL,TRNDiesl,TRN,"Freight trains, large commercial diesel locomotives.","Diesel, Diesel-Electric, Diesel-Powered, Freight, Locomotive, Passenger, Powerhouse, Railcar, Railway, Train",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,ELECTRIC,TRNElec,TRN,"Commuter trains, elevated trains, light rail, SUBWAYS have their own category.","City, Commuter, Inter-City, Light, Line, Maglev, Monorail, Rail, Railway, Regional, Train",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,HIGH SPEED,TRNHspd,TRN,"Hi-Tech trains, Maglev, monorails, Hyperloops, bullet trains.","350, AGV, AVE, Brightline, Bullet, CRH, Eurostar, Express, Hi-Tech, High-Speed, Hyperloop, ICE, Maglev, Monorails, Railway, Rapid, Shinkansen, Talgo, TGV, Train, X2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,HORN,TRNHorn,TRN,"Train horns, subway horns. A steam train whistle would likely go into WHISTLES-MECHANICAL.","Air, Commuter, Electric, Freight, High-Speed, Horn, Light, Locomotive, Passenger, Rail, Railway, Regional, Subway, Train, Tram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,INTERIOR,TRNInt,TRN,"Interior trains, from Diesel to Commuter, onboard train sounds.","Aboard, Berth, Cabin, Caboose, Car, Carriage, City, Coach, Commuter, Compartment, Dining, Freight, Inter-City, Light, Line, Lounge, Luggage, Monorail, Observation, Onboard, Overnight, Passenger, Racks, Rail, Railway, Regional, Rider, Saloon, Seating, Sleeper, Subway, Train",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,MECHANISM,TRNMech,TRN,"Coupling, decoupling and other mechanical sounds relating to trains. Levers, coal tender mechanics that are specific to a train.","Axles, Bearings, Brakes, Coupler, Couplers, Decouple, Railway, Shunt, Shunter, Suspension, Switcher, Wheels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,MISC,TRNMisc,TRN,Train sounds not fitting another category in this list.,"Miscellaneous, Railway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,STEAM,TRNSteam,TRN,"Old steam powered trains, big smoke stack chugs.","Boiler, Chuffing, Chugging, Coal, Firebox, Heritage, Hissing, Locomotive, Narrow-Gauge, Piston, Railway, Smokestack, Steam, Steam-Powered, Steaming, Tender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,SUBWAY,TRNSbwy,TRN,"Subways, overtly 'underground' sounding trains, above group city trains probably best in TRAINS-ELECTRIC","City, Commuter, Electric, Mass, Metro, MRT, Railcar, Railway, Rapid, Subway, System, Train, Transit, Tube, Tubes, Underground, Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINS,TRAM,TRNTram,TRN,"Trolleys, cable cars trams and streetcars. A Tram is 'pulled' along a cable, so not self-powered. An electric tram would go to TRAINS-ELECTRIC.","Cable, Car, Funicular, Grip, Light, Mover, People, Rail, Railway, Streetcar, Tram, Tramcar, Tramway, Trolley, Trolleybus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USER INTERFACE,ALERT,UIAlert,UI,"An alert tone or chime or notification. Something that gets Attention of User, startup chimes.","Advisory, Alarm, Alert, Alertness, Attention, Blip, Caution, GUI, Message, Notice, Notification, Pop-Up, Prompt, Signal, Sound, Startup, Text, Tone, UI, UX, Warning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USER INTERFACE,BEEP,UIBeep,UI,"Interface beeps, beeps while interacting with various technology, phones, computers. Also see BEEPS category.","Alert, Audible, Audio, Beep, Bleep, Boop, Chime, Computer, GUI, Notification, Phone, Prompt, Signal, Sound, Tone, UI, UX, Warning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USER INTERFACE,CLICK,UIClick,UI,"Typing clicks, button press clicks, response to input.","Button, Choose, Click, GUI, Interaction, Interface, Menu, Navigation, Pick, Press, Select, Tap, Type, UI, UX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USER INTERFACE,DATA,UIData,UI,"User interface calculations, scanning, thinking, text displayed on screen. Screen gak or garble.","Buffer, Bytes, Content, Data, Document, Download, File, GUI, Information, Input, Network, Processing, Record, Resource, Thinking, Transfer, UI, Upload, UX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USER INTERFACE,GLITCH,UIGlitch,UI,On Screen Glitches or Static. Malfunctioning computer or OS.,"Abnormality, Anomaly, Bug, Corrupt, Corruption, Crash, Defect, Distortion, Error, Failure, Fault, Flaw, Glitch, Glitchiness, GUI, Interference, Issue, Kernel, Malfunction, Message, Noise, Panic, Problem, Report, Static, UI, UX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USER INTERFACE,MISC,UIMisc,UI,User Interface sounds not fitting another category in this list.,"GUI, Miscellaneous, UI, UX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USER INTERFACE,MOTION,UIMvmt,UI,"User interface slides, swipes, scrolls. Open, Close, Appear, DIsappear.","Action, Activity, Animation, Choose, Confirm, Drag, Dynamics, Flick, GUI, Motion, Movement, Navigation, Page, Scroll, Swipe, Transition, UI, UX, Zoom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEGETATION,GRASS,VEGEGras,VEGE,Individual movement of grass elements in a studio or exterior environment.,"Flora, Foliage, Grass, Grassland, Green, Greenery, Hay, Lawn, Meadow, Moss, Mow, Mown, Pasture, Rustle, Sod, Through, Turf, Walk, Weeds, Wheat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEGETATION,LEAVES,VEGELeaf,VEGE,Individual movement of leaf elements in a studio or exterior environment. Jumping into a pile of leaves.,"Alder, Apple, Ash, Aspen, Beech, Birch, Boxwood, Buckeye, Bushes, Cedar, Cherry, Chestnut, Cypress, Dogwood, Elm, Fall, Falling, Fern, Fir, Flora, Foliage, Fronds, Greenery, Hemlock, Hickory, Larch, Leaf, Leafage, Leaves, Magnolia, Mahogany, Maple, Oak, Petals, Pile, Pine, Poplar, Redwood, Scrub, Sequoia, Shoots, Shrub, Shrubbery, Spruce, Stems, Swirl, Sycamore, Thicket, Underbrush, Undergrowth, Willow, Yew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEGETATION,MISC,VEGEMisc,VEGE,Vegetation and Foliage sounds not fitting another category in this list.,"Botanical, Flora, Foliage, Greenery, Plant, Shrub, Shrubs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEGETATION,TREE,VEGETree,VEGE,Individual movement of tree and branch elements in a studio or exterior environment.,"Alder, Apple, Ash, Aspen, Bark, Beech, Birch, Boughs, Boxwood, Branch, Branches, Break, Buckeye, Canopy, Cedar, Cherry, Chestnut, Conifer, Crown, Cypress, Dogwood, Elm, Eucalyptus, Fall, Fir, Foliage, Forest, Greenery, Hemlock, Hickory, Larch, Magnolia, Mahogany, Maple, Oak, Palm, Pine, Poplar, Redwood, Sequoia, Snap, Spruce, Sycamore, Timber, Tree, Trunk, Twig, Willow, Wood, Yew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,ALARM,VEHAlrm,VEH,"Not sirens, but just Car alarms, car alarm arm and disarm chirps.","Alarm, Anti-Theft, Arm, Auto, Automobile, Car, Chirp, Disarm, Fob, Security, System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,ANTIQUE,VEHAntq,VEH,"Very old vehicles, such a Model A, Model T. Mainly cars, but possible other very old vehicles, trucks, tractors.","A, Antique, Austin, Auto, Automobile, Car, Classic, Collectible, Duesenberg, Historic, Hudson, Model, Nash, Old-Fashioned, Packard, Pierce-Arrow, Rare, Roadster, Studebaker, T, Used, Vintage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,ATV,VEHAtv,VEH,"All-Terrain Vehicle, three and four-wheelers, dune buggies, side by side.","All-Terrain, ATV, Buggy, Dune, Four-Wheeler, Off-Road, Quad, Quadricycle, Side-By-Side, Three-Wheeler, Utility, UTV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,BICYCLE,VEHBike,VEH,"Bicycles, recumbent bikes, unicycles too. Any manner of pedal powered bicycle.","10-Speed, Backpedal, Bicycle, Bike, BMX, Cycle, Derailleur, Downshift, Freewheel, Kickstand, Mountain, Pedal, Pedaler, Racer, Recumbent, Rider, Road, Spoke, Tandem, Ten-Speed, Training, Tricycle, Unicycle, Velocipede, Wheelie, Wheels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,BRAKE,VEHBrake,VEH,Brake squeals and screeches of all kinds. TRAINS-BRAKE has its own category.,"ABS, Anti-Lock, Auto, Automobile, Brake, Brakes, Car, Decelerate, Disc, Drum, Grind, Halt, Hydraulic, Rotor, Screech, Squeal, Stop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,BUS,VEHBus,VEH,"City buses, school buses, Greyhound buses.","Bus, Buses, City, Coach, Coaches, Double-Decker, Fleet, Greyhound, School, Shuttle, Sightseeing, Tour, Transit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,CAR,VEHCar,VEH,"All cars except overtly antique... add ERA to metadata to make searches easier. 1950s, 1960s...","Auto, Automobile, Automobiles, Autos, Car, Compact, Convertible, Coupe, Crossover, Hatchback, Luxury, Rental, Sedan, Sports, Station, Subcompact, Taxi, Wagon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,CONSTRUCTION,VEHCnst,VEH,"Cranes, bulldozers, paving vehicles, any construction related vehicle goes here.","Backhoe, Bulldozer, Concrete, Constructor, Crane, Digger, Dump, Excavator, Forklift, Grader, Loader, Mixer, Paver, Road, Roller, Skid, Truck, Wrecker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,DOOR,VEHDoor,VEH,"Car, van, truck. Their doors all go here.","Auto, Automobile, Car, Close, Compact, Convertible, Coupe, Crossover, Door, Drivers, Hatchback,Hood, Liftgate, Luxury, Open, Passenger, Rental, Sedan, Sports, Station, Subcompact, Taxi, Tailgate, Slam, SUV, Truck, Trunk, Van",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,ELECTRIC,VEHElec,VEH,"Electric golf carts, electric scooters, electric cars. A Tesla. Any variety of electric vehicle, even electric motorcycles.","Auto, Automobile, Car, Cart, E-Bike, Electric, Electrified, EV, Go-Kart, Gold, Golf, Hybrid, Motorcycle, Plug-In, Rivian, Scooter, Segway, Tesla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,EMERGENCY,VEHEmrg,VEH,"Specifically emegency vehicles like Firetrucks, Ambulances, Police cars. Isolated sirens would go still to VEHICLES-SIREN.","Ambulance, Auto, Automobile, Car, Engine, Fire, Firetruck, First, Hazmat, K9, Paramedic, Patrol, Police, Rescue, Responder, Search, SWAT, Truck, Unit, Van, Vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,FARM,VEHFarm,VEH,"I'd put farm tractors here, Some overlap possibly with CONSTRUCTION vehicles. A riding lawn mower would best to MACHINES-GARDEN maybe.","Agricultural, Bale, Carrier, Cart, Combine, Crop, Cultivator, Drill, Duster, Equipment, Farm, Fertilizer, Forage, Grain, Harvester, Hay, Husker, Irrigation, Irrigator, Livestock, Manure, Plow, Processor, Rake, Seed, Seeder, Sprayer, Spreader, Sprinkler, Tiller, Tractor, Tractors, Truck, Wagon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,FREIGHT,VEHFrght,VEH,"Big Rigs, Lorry, Semi-truck, U-Haul trucks, not for TRAINS, which have their own category.","Big, Box, Cargo, Delivery, Flatbed, Freight, Hauler, Hauling, Livestock, Logging, Lorry, Moving, Penske, Rigs, Semi, Semi-Truck, Shipping, Tanker, Transport, Truck, Trucked, Trucking, Trucks, U-Haul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,GENERIC BY,VEHBy,VEH,"Generic or general vehicle pass bys, not 'traffic'. Bys for a specific car go with that car. For group passbys use AMBIENCE-TRAFFIC.","Auto, Automobile, By, Car, Pass, Passing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,HORN,VEHHorn,VEH,Specifically car and vehicles horns. BOATS-HORNS and TRAINS-HORN have their own category. Fog horn would go into HORNS-AIR.,"Auto, Automobile, Beep, Bus, Car, Honk, Honker, Hooter, Horn, Hour, Motorcycle, Rush, Semi, SUV, Toot, Truck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,INTERIOR,VEHInt,VEH,"Interior recordings (ambiences) for car, truck, van interiors, from passenger cars, to back of a moving truck, riding inside a bus.","Auto, Automobile, Bus, Car, Driver, Driving, Inside, Interior, Limousine, Onboard, Passenger, Seat, Semi, Truck, Van, Vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,JALOPY,VEHJalop,VEH,"Backfiring, poorly running vehicle. False starts, sputtering... In foreign language translate to MALFUNCTIONING. See also CARTOON-VEHICLE.","Auto, Automobile, Backfire, Banger, Beater, Bucket, Car, Clunker, FALSE, Heap, Hooptie, Hoopty, Jalopy, Junk, Junker, Lemon, Malfunctioning, Misfire, Misfiring, Old, Ramshackle, Rattletrap, Relic, Rust, Rustbucket, Scrap, Start, Wreck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,MECHANISM,VEHMech,VEH,"Various mechanisms on a vehicle, like seatbelts, window cranks, door locks.","Adjust, Auto, Automobile, Belt, Box, Brake, Car, Choke, Climate, Clutch, Compartment, Control, Crank, Gas Cap, Gear, Gearshift, Glove, Glovebox, Handbrake, Headlights, Ignition, Key, Lever, Mirror, Oil Cap, Parking, Rearview, Seat, Seatbelt, Shift, Side, Signal, Steering, Throttle, Trunk, Turn, Vent, Wheel, Window, Windshield, Wiper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,MILITARY,VEHMil,VEH,"Overtly military ground vehicles. Tanks and military trucks for example. Armored Personnel Carriers, military Jeeps. See also AIRCRAFT-MILITARY and BOATS-MILITARY.","Amphibious, APC, Armored, Army, Carrier, Convoy, Hummer, Humvee, Jeep, Jeeps, Military, Panzer, Personnel, Tactical, Tank, Tanks, Transport, Troops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,MISC,VEHMisc,VEH,Vehicles sounds not fitting another category in this list.,"Auto, Automobile, Car, Limousine, Snowmobile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,MOTORCYCLE,VEHMoto,VEH,"Scooters, Motorcycles, Vespas, Motocross… All things 2 wheeled and powered. ATV goes to VEHICLES-ATV.","Bike, Bikers, BMW, Chopper, Cruiser, Dirt, Dirtbike, Ducati, Handlebar, Harley, Hog, Honda, Indian, Kawasaki, KTM, Minibike, Moped, Mopeds, Moto, Motocross, Motorbike, Motorbikes, Motorcycle, Motorcyclists, Scooter, Scooters, Scrambler, Sidecar, Sport, Superbike, Supermotard, Suzuki, Touring, Triumph, Two-Wheeler, Vespa, Yamaha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,RACING,VEHRace,VEH,"Racing cars or drag racing cars. Indy and Formula 1 cars, monster trucks, BOATS-RACING has its own category.","1, Auto, Automobile, Car, Drag, Dragster, F1, Formula, Grand, Indy, Monster, NASCAR, Prix, Race, Racecar, Rally, Sports, Stock, Supercar, Track, Truck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,SIREN,VEHSirn,VEH,"Police, Firetruck, Ambulance sirens. Any vehicle siren. See also VEHICLES-EMERGENCY if engine sounds are present also.","Air, Alarm, Ambulance, Auto, Automobile, Blare, Brazen, Call, Car, Cops, Emergency, Fighter, Fire, Firetruck, Hi-Lo, Hooter, Horn, Howler, Piercer, Police, Power, Siren, Truck, Wail, Warning, Whoop, Yelp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,SKID,VEHSkid,VEH,"Tire skids, peel-outs. Other tire sounds go in VEHICLES-TIRES.","ABS, Auto, Automobile, Burnout, Car, Careening, Chuff, Drift, Fishtail, Marks, Out, Peel, Screech, Skid, Skidmark, Slide, Spin, Squeal, Swerve, Tire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,SUSPENSION,VEHSusp,VEH,"Suspension squeaks and rattles, for any car, truck, semi. Suspensions springs. A car or truck on a very rough road.","Absorber, Absorbers, Air, Anti-Roll, Arm, Arms, Auto, Automobile, Bar, Bump, Car, Chassis, Coilovers, Control, Dampers, Independent, Leaf, Macpherson, Multi-Link, Pothole, Rattle, Shock, Speed, Springs, Squeak, Stabilizer, Strut, Struts, Suspension, Sway, Torsion, Wishbone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,TIRE,VEHTire,VEH,"Tire rolls on various surfaces, tire whines, no engine sounds, isolated tire sounds. A flat tire flop.","All-Season, Bicycle, Blackwall, Bridgestone, Car, Dunlops, Firestone, Firestones, Flat, Goodyears, Hubcap, Innertube, Michelin, Motorcycle, Noise, Off-Road, Performance, Pirelli, Puncture, Racing, Radial, Rim, Rims, Road, Roll, Rubber, Run-Flat, Sidewall, Snow, Spare, Summer, Tire, Tires, Tread, Truck, Tubeless, Tyres, Wheel, Wheels, Whitewall, Winter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,TRUCK VAN & SUV,VEHTruck,VEH,"Passenger Trucks, pickup trucks, Vans and SUVs. Commercial trucks go in VEHICLES-FREIGHT.","Box, Camper, Cargo, Conversion, Cream, Delivery, Flatbed, Food, Ice, Microbus, Mini, Minibus, Minivan, Paddy, Panel, Passenger, Pickup, RV, Step, SUV, Tow, Truck, Van, Vans, Work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,UTILITY,VEHUtil,VEH,"Golf carts, cushmans, traffic, gator, small motorized utility vehicles.","By, Cushman, Gator, Ranger, RZR, Side, SXS, Ute, UTV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,WAGON,VEHWagn,VEH,"Old wood wagon, horse drawn carts, carriages, buggies. A Stagecoach.","Amish, Buckboard, Buggy, Carriage, Carriages, Cart, Chariot, Drawbar, Hayride, Ox, Stagecoach, Waggon, Wagon, Wagons, Wain, Wood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLES,WINDOW,VEHWndw,VEH,"Powered windows for any vehicles, crank windows should go in VEHICLES-MECHANISM.","Auto, Automatic, Automobile, Car, Drivers, Down, Passenger, Power, Roll, Up, Window",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOICES,ALIEN,VOXAlien,VOX,Weird alien vocals here.,"Alien, Chewbacca, Cosmic, ET, Extraterrestrial, Language, Vocal, Vocalization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOICES,BABY,VOXBaby,VOX,"Very young babies through toddler, non-word vocals, cut vocals.","Baba, Babble, Bambino, Coo, Cooing, Dada, Fuss, Gaga, Infant, Infantile, Little, Mama, Newborn, Nursing, Nursling, One, Snuffle, Toddler, Tot, Tyke, Vocal, Vocalization, Wean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOICES,CHEER,VOXCheer,VOX,A single person cheering. For a group use CROWDS-CHEERING.,"Acclaim, Acclamation, Bravo, Celebrating, Cheer, Cheering, Commendation, Encouraging, Holler, Hollering, Horray, Hurrah, Huzzah, Kudos, Ovation, Rooting, Shout, Supporting, Vocal, Vocalization, Woohoo, Yay, Yelling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOICES,CHILD,VOXChld,VOX,Various vocals for a child or a teenager. For non-discernible vocals for a very young child use VOICES-BABY.,"Adolescent, Child, Children, Juvenile, Kid, Minor, One, Preteen, Pubescent, Teen, Toddler, Tween, Vocal, Vocalization, Young, Youngling, Youngster, Youth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOICES,CRYING,VOXCry,VOX,A single person crying.,"Bawl, Bawling, Bemoan, Blubber, Blubbering, Cry, Fuss, Howling, Lamenting, Pout, Sniffling, Sniveling, Sob, Sobbing, Vocal, Vocalization, Wail, Wailing, Weep, Weeping, Whimper, Whimpering, Whining, Wounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
